,logreg,svm_linear,knn,rf
val_acc,0.3221957040572792,0.3723150357995227,0.36515513126491644,0.6252983293556086
val_macro_f1,0.30567377190341016,0.34841231112465404,0.32427617207294435,0.6022235951768278
val_kappa,0.298372641509434,0.35062493738840406,0.34288460064500526,0.6122291386668552
test_acc,0.3444676409185804,0.37160751565762007,0.38413361169102295,0.6388308977035491
test_macro_f1,0.3292774788578278,0.33756308839816007,0.3459579208544957,0.6143198103659774
test_kappa,0.32156034894945285,0.3498949399850301,0.3623909718117291,0.6261627854519863
train_time_s,3.8066155910491943,3.9186928272247314,0.00678253173828125,37.08801245689392
