epoch,train_loss,train_acc,train_macro_f1,val_acc,val_macro_f1,val_kappa,time_s
0,0.2705249297412738,0.9372,0.9377791546838099,0.05589675122385403,0.010352756773332845,0.023341466783297293,1015.2118346691132
1,0.038678092005765344,0.9909333333333333,0.9909199852975532,0.025456163773920782,0.0029281679339220987,-0.008148796095943878,1023.8672516345978
2,0.023218910031061503,0.994247619047619,0.9942421877293561,0.11143747218513574,0.10020292939547008,0.08079738501910605,1025.8141283988953
3,0.01844431416430646,0.9952761904761904,0.9952777092829602,0.14775255896751224,0.11749929078371367,0.11836471617328836,1011.0012936592102
4,0.011639404885293797,0.9969428571428571,0.9969426705582788,0.023987538940809967,0.002848837219897073,-0.009668063164679275,1023.302431344986
5,0.010022572999380842,0.9973047619047619,0.9973065505835467,0.10551846906987093,0.07404932653351858,0.07467427834814255,1089.5748970508575
6,0.008170479163981515,0.9977714285714285,0.9977697821693372,0.044859813084112146,0.018719062048280555,0.011923944569771305,1054.7155680656433
7,0.006950996666329434,0.9979523809523809,0.9979537231117965,0.030485091232754783,0.006243331024666371,-0.002946457345425868,1251.7486169338226
8,0.007159968018577202,0.9980761904761905,0.9980768418154613,0.02932799287939475,0.006811220772578511,-0.004143455642005467,1426.157898426056
9,0.00466238822853834,0.9987714285714285,0.9987745796522993,0.20013351134846463,0.19652237505815015,0.172551908291515,1429.262783050537
10,0.00451607960982885,0.9985619047619048,0.9985616777902077,0.03333333333333333,0.002150537634408602,0.0,1437.4392714500427
11,0.003552739897210521,0.9989333333333333,0.9989328544090442,0.19964396973742768,0.1648624643755486,0.17204548593527003,1425.7137389183044
12,0.0023115551851730677,0.9993428571428571,0.9993421168774204,0.03400089007565643,0.003164920256062896,0.0006905759403342815,1382.194319486618
13,0.0026449798609173786,0.999247619047619,0.9992475540466276,0.9868713840676457,0.9868973570808148,0.9864186731734267,1363.3553500175476
14,0.0023008738755090144,0.9992190476190477,0.9992174799732763,0.9918558077436582,0.9918690997418882,0.9915749735279222,1349.0773129463196
15,0.002002753330976915,0.9994190476190477,0.999419852314577,0.03159768580329328,0.0021042648409946357,-0.0017954974448690653,1370.331925868988
16,0.0013370936660415003,0.9996190476190476,0.9996169141076817,0.9953271028037384,0.9953274281448204,0.9951659684176604,1358.7169177532196
17,0.0011084287652676603,0.9996761904761905,0.9996769620827762,0.9893635959056519,0.989386668499232,0.9889968233506745,1372.407802581787
18,0.0012293875700976338,0.999552380952381,0.9995532627385671,0.9904761904761905,0.9904507056095659,0.9901477832512315,1383.0018808841705
19,0.0010013471730393945,0.9996,0.9996002466799954,0.9677347574543836,0.968360956883362,0.9666221628838452,1364.4350681304932
20,0.0006838022032610749,0.9997333333333334,0.9997325466799969,0.9957721406319537,0.9957706892487502,0.9956263523778831,950.4692115783691
21,0.00044123325235846564,0.9998095238095238,0.9998088806311795,0.9954606141522029,0.9954602958901134,0.9953040836057272,1040.875463962555
22,0.0004448664160689372,0.9998190476190476,0.9998193860515608,0.9953716065865599,0.9953711277690892,0.9952120068136826,1253.5525035858154
23,0.00041947791796679326,0.9997714285714285,0.9997724400438224,0.22861593235425012,0.20111248587074054,0.20201648174577602,28145.792360305786
24,0.0004275267674728983,0.9998095238095238,0.9998088722282998,0.9959056519804184,0.9959054455901613,0.99576446756595,1207.514172554016
25,0.0003763392912694988,0.9998476190476191,0.9998468125144236,0.9959056519804184,0.9959050866372322,0.99576446756595,1065.9525926113129
26,0.00026798027406953445,0.9998857142857143,0.9998867240686677,0.9958611481975967,0.9958603951385672,0.9957184291699277,1090.6796383857727
27,0.0003837706778813687,0.9998,0.9997983759919713,0.9959056519804184,0.995905300952206,0.99576446756595,1088.0283060073853
28,0.00029075729486457026,0.9998761904761905,0.9998766096569034,0.9957276368491321,0.9957268269453688,0.9955803139818609,1083.514396429062
29,0.00032390525029934737,0.9998380952380952,0.9998363268339759,0.9957721406319537,0.9957713614966253,0.9956263523778831,1089.6366024017334
