,logreg,svm_linear,knn,rf
val_acc,0.6730310262529833,0.630071599045346,0.30071599045346065,0.639618138424821
val_macro_f1,0.660358407256182,0.6076498736464037,0.2998582121756324,0.623139911714179
val_kappa,0.6616925098864312,0.6172433506014369,0.2763299832002123,0.6269252541453405
test_acc,0.7014613778705637,0.6805845511482255,0.2860125260960334,0.6638830897703549
test_macro_f1,0.6926999885205753,0.6567553586362437,0.28900137480167554,0.6416916291398282
test_kappa,0.6910053817040107,0.6694018404907975,0.2610392129443765,0.6520670068441545
train_time_s,6.508329629898071,9917.361178398132,0.7546303272247314,346.55463433265686
