,logreg,svm_linear,knn,rf
val_acc,0.03441903441903442,0.03441903441903442,0.03441903441903442,0.03441903441903442
val_macro_f1,0.002218252195920798,0.002218252195920798,0.002218252195920798,0.002218252195920798
val_kappa,0.0,0.0,0.0,0.0
test_acc,0.03440419229892914,0.03440419229892914,0.03440419229892914,0.03440419229892914
test_macro_f1,0.002217327459618209,0.002217327459618209,0.002217327459618209,0.002217327459618209
test_kappa,0.0,0.0,0.0,0.0
train_time_s,1.9787917137145996,0.7745969295501709,0.0,6.660382032394409
