,logreg,svm_linear,knn,rf
val_acc,0.03441903441903442,0.03441903441903442,0.03441903441903442,0.03441903441903442
val_macro_f1,0.002218252195920798,0.002218252195920798,0.002218252195920798,0.002218252195920798
val_kappa,0.0,0.0,0.0,0.0
test_acc,0.03440419229892914,0.03440419229892914,0.03440419229892914,0.03440419229892914
test_macro_f1,0.002217327459618209,0.002217327459618209,0.002217327459618209,0.002217327459618209
test_kappa,0.0,0.0,0.0,0.0
train_time_s,8.281266689300537,9.921935081481934,0.0,10.844719648361206
