,logreg,svm_linear,knn,rf
val_acc,0.19809069212410502,0.2052505966587112,0.3794749403341289,0.6348448687350835
val_macro_f1,0.18125866311796207,0.1581281184111373,0.3520491398352719,0.6126315468568518
val_kappa,0.1701160672706803,0.1778068485159192,0.35760827903411263,0.6221041958948845
test_acc,0.1941544885177453,0.19206680584551147,0.3695198329853862,0.6304801670146137
test_macro_f1,0.1664253351834474,0.14894417055373474,0.3418550242784471,0.609378202001151
test_kappa,0.16611493464907134,0.16413179241837383,0.34719057009923593,0.6175519317951147
train_time_s,0.5832915306091309,0.34068989753723145,0.0009927749633789062,11.755380392074585
